Area,City,NPS,NPS Label,Ambience And Atmosphere,Curriculum and Activities,Visit Booking Process,Environment And Facilities,Information and Experience,Questions,Nutritious Meals,Value For Money,Survey Response Date [GMT],Responded Week Starting on [GMT],Survey Sent Date [GMT],Start Date,NPS Feedback Categories,Improvement Feedback Categories,Response Month (YYYY-MM),Response Year (YYYY),Response Quarter (YYYY-Q#),Workflow Status,Last Modified Date,Division
10,Margaret River,8,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,24/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,None,,Blue
2,Urraween,8,Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,23/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,11/05/2022 12:58,Red
6,Southport,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,23/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,19/04/2022 0:00,"""App & Child Updates"",""Communication"",""Head Office Interactions""",,2022-04,2022,2022-Q2,Closed,29/04/2022 10:41,Green
18,Kwinana,7,Neutral,1. Strongly Disagree,3. Neither Agree nor Disagree,2. Disagree,3. Neither Agree nor Disagree,2. Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,23/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Curriculum & Programs""","""Campus Directors & Educators"",""Curriculum & Programs""",2022-04,2022,2022-Q2,Closed,25/04/2022 6:14,Green
17,Sunbury,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,23/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,26/04/2022 12:04,Green
10,Parkes,8,Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,23/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Campus Directors & Educators""","""Food & Nutrition""",2022-04,2022,2022-Q2,Closed,26/04/2022 15:46,Blue
19,Kiama,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,23/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Environment & Facilities"",""Fees""",,2022-04,2022,2022-Q2,Closed,29/04/2022 7:39,Grey
11,Portland,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators"",""Head Office Interactions""",,2022-04,2022,2022-Q2,Closed,25/04/2022 7:03,Blue
11,Narre Warren North,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,25/04/2022 8:17,Blue
13,Brisbane,10,Promoter,3. Neither Agree nor Disagree,4. Agree,5. Strongly Agree,1. Strongly Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,3. Neither Agree nor Disagree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Environment & Facilities"",""Head Office Interactions""","""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",2022-04,2022,2022-Q2,Closed,25/04/2022 6:15,Green
17,Sunbury,9,Promoter,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators"",""Communication""",,2022-04,2022,2022-Q2,Closed,26/04/2022 10:29,Green
5,Bargara,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Pending,22/04/2022 20:47,Red
23,Mandurah,8,Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,19/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,None,,Green
11,Central Coast,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators"",""Communication""","""Cleanliness & Hygiene""",2022-04,2022,2022-Q2,Closed,28/04/2022 13:32,Blue
14,Horsham,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene""",,2022-04,2022,2022-Q2,Closed,31/05/2022 14:27,Green
23,Kyneton,10,Promoter,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,,3. Neither Agree nor Disagree,,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,19/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Pending,22/04/2022 20:48,Green
1,Bendigo,10,Promoter,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,19/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Closed,28/04/2022 15:40,Blue
4,Melbourne,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,22/04/2022 0:00,18/04/2022 0:00,22/04/2022 0:00,20/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene""",,2022-04,2022,2022-Q2,Closed,23/04/2022 11:03,Red
5,Bargara,8,Neutral,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/04/2022 0:00,18/04/2022 0:00,08/04/2022 0:00,06/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,None,,Red
16,Fremantle,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Pending,20/04/2022 20:47,Blue
6,Southport,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,21/04/2022 11:13,Red
10,Murwillumbah,10,Promoter,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,2. Disagree,2. Disagree,2. Disagree,20/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,22/04/2022 15:04,Blue
8,Cootamundra,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Closed,21/04/2022 11:55,Blue
22,Albany,10,Promoter,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,20/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,05/05/2022 11:30,Green
6,Southport,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Enrolment Process""",,2022-04,2022,2022-Q2,Closed,21/04/2022 11:15,Green
8,Gordonvale,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,15/05/2022 12:17,Blue
24,Bacchus Marsh,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,20/04/2022 0:00,18/04/2022 0:00,20/04/2022 0:00,14/04/2022 0:00,"""Curriculum & Programs""","""Communication"",""Head Office Interactions""",2022-04,2022,2022-Q2,Pending,20/04/2022 20:47,Purple
1,Roma,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,19/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,20/04/2022 11:33,Yellow
17,Sunbury,8,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,19/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Campus Directors & Educators""","""Environment & Facilities"",""Fees""",2022-04,2022,2022-Q2,Closed,20/04/2022 8:52,Blue
5,Caloundra,8,Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,19/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Curriculum & Programs""",,2022-04,2022,2022-Q2,None,,Red
12,Waterford,9,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,19/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,None,,Blue
20,North Tamborine,8,Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,19/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,None,,Purple
22,Kurri Kurri,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,19/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Pending,15/04/2022 20:48,Green
23,Shepparton,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,19/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,12/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Pending,19/04/2022 20:58,Green
16,Maryborough,8,Neutral,4. Agree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,19/04/2022 0:00,18/04/2022 0:00,08/04/2022 0:00,06/04/2022 0:00,"""Curriculum & Programs"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,20/04/2022 11:07,Green
24,Taree,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,19/04/2022 0:00,18/04/2022 0:00,08/04/2022 0:00,05/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,22/04/2022 5:26,Purple
7,Castlemaine,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,08/04/2022 0:00,05/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Threat of Leaving""",,2022-04,2022,2022-Q2,Closed,19/04/2022 14:18,Blue
1,Ballarat,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,18/04/2022 0:00,18/04/2022 0:00,08/04/2022 0:00,06/04/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,21/04/2022 13:46,Yellow
16,Perth,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,18/04/2022 0:00,18/04/2022 0:00,08/04/2022 0:00,06/04/2022 0:00,"""Communication"",""Environment & Facilities""",,2022-04,2022,2022-Q2,In Progress,20/04/2022 6:41,Green
13,Rye,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,08/04/2022 0:00,05/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities"",""Threat of Leaving""",,2022-04,2022,2022-Q2,Closed,21/04/2022 16:20,Green
14,Canberra,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,06/04/2022 0:00,30/03/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Pending,18/04/2022 20:47,Blue
19,Port Augusta,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Communication""","""Cleanliness & Hygiene"",""Curriculum & Programs""",2022-04,2022,2022-Q2,Closed,07/05/2022 22:22,Grey
20,Swan Hill,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,12/04/2022 0:00,"""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,10/05/2022 9:50,Purple
13,Lennox Head,6,Detractor,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Campus Directors & Educators"",""Communication""","""Communication""",2022-04,2022,2022-Q2,Closed,22/04/2022 10:06,Green
22,Grafton,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Pending,18/04/2022 20:47,Green
9,Gisborne,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Closed,19/04/2022 12:54,Blue
21,Bomaderry,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Cleanliness & Hygiene""",,2022-04,2022,2022-Q2,Closed,27/05/2022 13:57,Orange
1,Worragee,8,Neutral,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,19/04/2022 8:12,Yellow
10,Devonport,8,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,12/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,None,,Blue
15,Raymond Terrace,8,Neutral,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,19/04/2022 8:46,Green
24,Tuncurry,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,06/05/2022 12:34,Purple
5,Blaxland,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,12/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Closed,19/04/2022 9:53,Red
5,Ballina,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,12/04/2022 0:00,"""Campus Directors & Educators"",""Communication""",,2022-04,2022,2022-Q2,Closed,19/04/2022 9:32,Red
15,Whyalla,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,05/05/2022 21:10,Green
20,Strathalbyn,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,18/04/2022 0:00,18/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene""",,2022-04,2022,2022-Q2,Closed,19/04/2022 12:18,Purple
11,Yeppoon,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,17/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Pending,17/04/2022 20:46,Blue
7,Sydney,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,17/04/2022 0:00,11/04/2022 0:00,06/04/2022 0:00,01/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Closed,26/04/2022 10:41,Blue
19,Somerville,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,16/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Communication"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,07/05/2022 22:21,Grey
1,Seymour,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,16/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,22/04/2022 8:39,Yellow
12,Kingscliff,9,Promoter,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,2. Disagree,2. Disagree,16/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-04,2022,2022-Q2,None,,Blue
17,Wauchope,9,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,16/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,21/04/2022 14:43,Green
12,Waterford,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Environment & Facilities""",,2022-04,2022,2022-Q2,Pending,16/04/2022 20:47,Blue
3,Emu Plains,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,16/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,None,,Red
10,Beaudesert,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,10/05/2022 14:43,Blue
20,Helensburgh,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Campus Directors & Educators"",""Communication""",,2022-04,2022,2022-Q2,Closed,19/04/2022 9:46,Purple
18,Tweed Heads,9,Promoter,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-04,2022,2022-Q2,None,,Green
17,Yass,10,Promoter,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,13/04/2022 0:00,"""Campus Directors & Educators"",""Communication""",,2022-04,2022,2022-Q2,In Progress,17/04/2022 17:32,Green
15,Newman,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,05/05/2022 21:26,Green
7,Casino,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,08/04/2022 0:00,"""Campus Directors & Educators""",,2022-04,2022,2022-Q2,Closed,21/04/2022 12:01,Purple
7,Narrabri,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Curriculum & Programs""",,2022-04,2022,2022-Q2,Closed,25/04/2022 12:49,Blue
11,Central Coast,0,Detractor,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,1. Strongly Disagree,4. Agree,4. Agree,2. Disagree,4. Agree,15/04/2022 0:00,11/04/2022 0:00,15/04/2022 0:00,11/04/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs"",""Environment & Facilities""",,2022-04,2022,2022-Q2,Closed,19/04/2022 10:33,Blue
