,Area,City,NPS,NPS Label,Ambience And Atmosphere,Curriculum and Activities,Visit Booking Process,Environment And Facilities,Information and Experience,Questions,Nutritious Meals,Value For Money,Survey Response Date [GMT],Responded Week Starting on [GMT],Survey Sent Date [GMT],Start Date,NPS Feedback Categories,Improvement Feedback Categories,Response Month (YYYY-MM),Response Year (YYYY),Response Quarter (YYYY-Q#),Workflow Status,Last Modified Date,Division,Response_Week
279,16,Maryborough,8,Neutral,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,2022-04-19,2022-04-18,2022-04-08,2022-04-06,"""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-20 11:07:00,Green,2022-16
280,24,Taree,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-19,2022-04-18,2022-04-08,2022-04-05,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-22 05:26:00,Purple,2022-16
281,7,Castlemaine,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-08,2022-04-05,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Threat Of Leaving""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 14:18:00,Blue,2022-16
282,1,Ballarat,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2022-04-18,2022-04-18,2022-04-08,2022-04-06,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 13:46:00,Yellow,2022-16
283,16,Perth,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2022-04-18,2022-04-18,2022-04-08,2022-04-06,"""Communication"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,In Progress,2022-04-20 06:41:00,Green,2022-16
284,13,Rye,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-08,2022-04-05,"""Campus Directors & Educators"",""Environment & Facilities"",""Threat Of Leaving""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 16:20:00,Green,2022-16
285,14,Canberra,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-06,2022-03-30,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-18 20:47:00,Blue,2022-16
286,19,Port Augusta,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-11,"""Communication""","""Cleanliness & Hygiene"",""Curriculum & Programs""",2022-04,2022,2022-Q2,Closed,2022-05-07 22:22:00,Grey,2022-16
287,20,Swan Hill,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-18,2022-04-18,2022-04-15,2022-04-12,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-10 09:50:00,Purple,2022-16
288,13,Lennox Head,6,Detractor,4.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,2022-04-18,2022-04-18,2022-04-15,2022-04-11,"""Campus Directors & Educators"",""Communication""","""Communication""",2022-04,2022,2022-Q2,Closed,2022-04-22 10:06:00,Green,2022-16
289,22,Grafton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-18 20:47:00,Green,2022-16
290,9,Gisborne,10,Promoter,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,2022-04-18,2022-04-18,2022-04-15,2022-04-08,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 12:54:00,Blue,2022-16
291,21,Bomaderry,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-08,"""Cleanliness & Hygiene""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-27 13:57:00,Orange,2022-16
292,1,Worragee,8,Neutral,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2022-04-18,2022-04-18,2022-04-15,2022-04-11,"""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 08:12:00,Yellow,2022-16
293,10,Devonport,8,Neutral,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2022-04-18,2022-04-18,2022-04-15,2022-04-12,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,None,,Blue,2022-16
294,15,Raymond Terrace,8,Neutral,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-11,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 08:46:00,Green,2022-16
295,24,Tuncurry,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-08,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-06 12:34:00,Purple,2022-16
296,5,Blaxland,10,Promoter,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2022-04-18,2022-04-18,2022-04-15,2022-04-12,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 09:53:00,Red,2022-16
297,5,Ballina,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-12,"""Campus Directors & Educators"",""Communication""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 09:32:00,Red,2022-16
298,15,Whyalla,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-08,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-05 21:10:00,Green,2022-16
299,20,Strathalbyn,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-04-18,2022-04-18,2022-04-15,2022-04-08,"""Campus Directors & Educators"",""Cleanliness & Hygiene""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 12:18:00,Purple,2022-16
300,11,Yeppoon,10,Promoter,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2022-04-17,2022-04-11,2022-04-15,2022-04-11,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-17 20:46:00,Blue,2022-15
301,7,Sydney,10,Promoter,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2022-04-17,2022-04-11,2022-04-06,2022-04-01,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-26 10:41:00,Blue,2022-15
302,19,Somerville,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-16,2022-04-11,2022-04-15,2022-04-13,"""Communication"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-07 22:21:00,Grey,2022-15
303,1,Seymour,10,Promoter,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2022-04-16,2022-04-11,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-22 08:39:00,Yellow,2022-15
304,12,Kingscliff,9,Promoter,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2022-04-16,2022-04-11,2022-04-15,2022-04-08,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,None,,Blue,2022-15
305,17,Wauchope,9,Promoter,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2022-04-16,2022-04-11,2022-04-15,2022-04-11,"""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 14:43:00,Green,2022-15
306,12,Waterford,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-16,2022-04-11,2022-04-15,2022-04-13,"""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-16 20:47:00,Blue,2022-15
307,3,Emu Plains,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-16,2022-04-11,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,None,,Red,2022-15
308,10,Beaudesert,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-10 14:43:00,Blue,2022-15
309,20,Helensburgh,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-15,2022-04-11,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Communication""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 09:46:00,Purple,2022-15
310,18,Tweed Heads,9,Promoter,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,None,,Green,2022-15
311,17,Yass,10,Promoter,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2022-04-15,2022-04-11,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Communication""",Nan,2022-04,2022,2022-Q2,In Progress,2022-04-17 17:32:00,Green,2022-15
312,15,Newman,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-05 21:26:00,Green,2022-15
313,7,Casino,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-08,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 12:01:00,Purple,2022-15
314,7,Narrabri,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-25 12:49:00,Blue,2022-15
315,11,Central Coast,0,Detractor,4.0,3.0,5.0,1.0,4.0,4.0,2.0,4.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 10:33:00,Blue,2022-15
316,6,Southport,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 11:15:00,Red,2022-15
317,1,Cooma,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 19:29:00,Blue,2022-15
318,24,Taree,5,Detractor,1.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,2022-04-15,2022-04-11,2022-04-15,2022-04-08,"""Campus Directors & Educators"",""Environment & Facilities"",""Staff Retention & Turnover""","""Campus Directors & Educators"",""Environment & Facilities""",2022-04,2022,2022-Q2,Closed,2022-04-30 08:22:00,Purple,2022-15
319,24,Bacchus Marsh,3,Detractor,3.0,3.0,5.0,5.0,3.0,2.0,3.0,2.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Environment & Facilities"",""Head Office Interactions"",""Threat Of Leaving""",Nan,2022-04,2022,2022-Q2,In Progress,2022-04-16 09:15:00,Purple,2022-15
320,15,Merrimac,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 09:42:00,Green,2022-15
321,11,Banora Point,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-08,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-15 20:49:00,Blue,2022-15
322,12,Cairns,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-15,2022-04-11,2022-04-15,2022-04-12,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-15 20:48:00,Blue,2022-15
323,8,Bli Bli,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-12,"""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-26 13:25:00,Blue,2022-15
324,19,Somerville,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-13,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-07 22:23:00,Grey,2022-15
325,22,Bairnsdale,10,Promoter,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,2022-04-15,2022-04-11,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Food & Nutrition""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-29 11:21:00,Green,2022-15
326,20,Nuriootpa,9,Promoter,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 13:02:00,Purple,2022-15
327,20,Sale,8,Neutral,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,2022-04-15,2022-04-11,2022-04-15,2022-04-11,"""Cleanliness & Hygiene"",""Enrolment Process"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 11:32:00,Purple,2022-15
328,9,Beerwah,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-08,"""Communication"",""Head Office Interactions""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-20 14:34:00,Blue,2022-15
329,3,Chinchilla,0,Detractor,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2022-04-15,2022-04-11,2022-04-15,2022-04-13,"""Campus Directors & Educators"",""Environment & Facilities""","""Head Office Interactions""",2022-04,2022,2022-Q2,Pending,2022-04-15 20:48:00,Red,2022-15
330,18,Wangaratta,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-15,2022-04-11,2022-04-15,2022-04-13,"""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-15 20:48:00,Green,2022-15
331,12,Drouin,7,Neutral,4.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,2022-04-13,2022-04-11,2022-04-08,2022-04-05,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,None,,Blue,2022-15
332,17,Yass,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-13,2022-04-11,2022-04-06,2022-04-04,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,In Progress,2022-04-14 07:47:00,Green,2022-15
333,9,Geraldton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-12,2022-04-11,2022-04-08,2022-04-04,"""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-26 11:13:00,Blue,2022-15
334,15,Goondiwindi,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2022-04-12,2022-04-11,2022-04-08,2022-04-04,"""Enrolment Process""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 14:57:00,Green,2022-15
335,3,Kingston,8,Neutral,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2022-04-11,2022-04-11,2022-04-08,2022-04-05,"""App & Child Updates"",""Communication"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-14 13:53:00,Red,2022-15
336,8,Tumut,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-11,2022-04-11,2022-03-31,2022-03-25,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-14 12:57:00,Blue,2022-15
337,15,Gold Coast,8,Neutral,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2022-04-11,2022-04-11,2022-04-06,2022-03-31,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,In Progress,2022-04-14 15:20:00,Green,2022-15
338,2,Cannonvale,7,Neutral,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2022-04-11,2022-04-11,2022-04-06,2022-03-31,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-14 14:05:00,Red,2022-15
339,24,Pakenham,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-11,2022-04-11,2022-04-06,2022-03-31,"""Communication"",""Head Office Interactions""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-16 11:38:00,Purple,2022-15
340,22,Nambucca Heads,7,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-11,2022-04-11,2022-04-08,2022-04-05,"""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-22 11:24:00,Green,2022-15
341,5,Caloundra,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-11,2022-04-11,2022-04-08,2022-04-04,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-21 12:56:00,Red,2022-15
342,15,Goondiwindi,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-11,2022-04-11,2022-04-08,2022-04-05,"""Campus Directors & Educators"",""Curriculum & Programs""","""Curriculum & Programs""",2022-04,2022,2022-Q2,Closed,2022-04-19 15:07:00,Green,2022-15
343,12,Waterford,8,Neutral,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,2022-04-11,2022-04-11,2022-04-08,2022-04-05,"""Environment & Facilities""","""Environment & Facilities""",2022-04,2022,2022-Q2,Closed,2022-04-14 15:29:00,Blue,2022-15
344,18,Wynyard,6,Detractor,3.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,2022-04-11,2022-04-11,2022-04-08,2022-04-05,"""Campus Directors & Educators"",""Cleanliness & Hygiene""","""Curriculum & Programs"",""Food & Nutrition""",2022-04,2022,2022-Q2,Closed,2022-04-25 12:43:00,Green,2022-15
345,3,Gracemere,9,Promoter,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,2022-04-11,2022-04-11,2022-04-08,2022-04-04,"""Campus Directors & Educators"",""Communication"",""Environment & Facilities"",""Food & Nutrition""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-09 10:21:00,Red,2022-15
346,16,Perth,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-11,2022-04-11,2022-04-08,2022-04-06,"""Communication""",Nan,2022-04,2022,2022-Q2,In Progress,2022-04-14 15:36:00,Purple,2022-15
347,5,Bunbury,9,Promoter,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,2022-04-10,2022-04-04,2022-03-31,2022-03-25,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-14 12:38:00,Red,2022-14
348,8,Burnie,6,Detractor,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,2022-04-10,2022-04-04,2022-03-31,2022-03-28,"""App & Child Updates"",""Communication"",""Head Office Interactions""","""App & Child Updates"",""Campus Directors & Educators"",""Communication"",""Head Office Interactions""",2022-04,2022,2022-Q2,Closed,2022-04-25 09:52:00,Blue,2022-14
349,19,Somerville,9,Promoter,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2022-04-10,2022-04-04,2022-04-06,2022-04-01,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-07 22:02:00,Purple,2022-14
350,1,Seymour,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-09,2022-04-04,2022-04-06,2022-03-30,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-14 14:49:00,Yellow,2022-14
351,22,Grafton,8,Neutral,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-04-04,"""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""","""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Head Office Interactions""",2022-04,2022,2022-Q2,None,,Green,2022-14
352,3,North Mackay,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-03-30,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-13 13:26:00,Red,2022-14
353,13,Northam,10,Promoter,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-04-04,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-25 09:36:00,Green,2022-14
354,2,Hamilton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-09,2022-04-04,2022-03-31,2022-03-25,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 12:20:00,Red,2022-14
355,5,Mount Cotton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-09,2022-04-04,2022-03-31,2022-03-28,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Threat Of Leaving""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-09 20:46:00,Red,2022-14
356,4,Alstonville,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-09,2022-04-04,2022-04-06,2022-03-30,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-10 12:54:00,Red,2022-14
357,22,Grafton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-04-02,"""Campus Directors & Educators"",""Environment & Facilities""","""Curriculum & Programs""",2022-04,2022,2022-Q2,Pending,2022-04-09 20:47:00,Green,2022-14
358,21,Atherton,1,Detractor,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2022-04-09,2022-04-04,2022-04-06,2022-03-30,"""App & Child Updates"",""Communication"",""Head Office Interactions""","""Communication"",""Curriculum & Programs""",2022-04,2022,2022-Q2,Closed,2022-04-13 16:33:00,Orange,2022-14
359,7,Glen Innes,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-03-30,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-12 13:04:00,Blue,2022-14
360,24,Yamba,8,Neutral,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-03-31,"""Campus Directors & Educators"",""Environment & Facilities"",""Head Office Interactions""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-20 11:15:00,Purple,2022-14
361,5,Biloela,8,Neutral,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-04-04,"""Campus Directors & Educators"",""Head Office Interactions""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-05 14:06:00,Red,2022-14
362,2,Kiama Downs,9,Promoter,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2022-04-09,2022-04-04,2022-04-06,2022-03-31,"""Campus Directors & Educators""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 09:20:00,Red,2022-14
363,19,Pottsville,10,Promoter,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,2022-04-09,2022-04-04,2022-04-06,2022-04-01,"""Campus Directors & Educators"",""Enrolment Process"",""Environment & Facilities""","""App & Child Updates"",""Food & Nutrition""",2022-04,2022,2022-Q2,Closed,2022-05-07 22:03:00,Grey,2022-14
364,1,Bendigo,7,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2022-04-09,2022-04-04,2022-04-06,2022-03-30,"""Fees""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-14 14:53:00,Yellow,2022-14
365,3,Rutherford,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-04-09,2022-04-04,2022-04-06,2022-03-30,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-13 07:39:00,Red,2022-14
366,6,Lysterfield,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-09,2022-04-04,2022-04-06,2022-03-31,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-04,2022,2022-Q2,Closed,2022-05-12 12:06:00,Red,2022-14
367,5,Ayr,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-04-09,2022-04-04,2022-04-08,2022-04-05,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-19 09:58:00,Red,2022-14
368,13,Alice Springs,10,Promoter,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2022-04-09,2022-04-04,2022-04-08,2022-04-06,"""Cleanliness & Hygiene""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-14 13:58:00,Green,2022-14
369,20,Helensburgh,5,Detractor,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2022-04-09,2022-04-04,2022-03-31,2022-03-25,"""Curriculum & Programs""",Nan,2022-04,2022,2022-Q2,Closed,2022-04-11 12:33:00,Purple,2022-14
370,11,Frankston,4,Detractor,2.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,2022-04-08,2022-04-04,2022-03-25,2022-03-24,"""Curriculum & Programs"",""Head Office Interactions""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-08 20:47:00,Blue,2022-14
371,23,Kyneton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-08,2022-04-04,2022-04-08,2022-04-06,"""Campus Directors & Educators"",""Fees""",Nan,2022-04,2022,2022-Q2,Pending,2022-04-08 20:47:00,Green,2022-14
